crim,zn,indus,chas,nox,rm,age,dis,tax,ptratio,black,lstat,medv
0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,242,17.8,396.9,9.14,21.6
0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,242,17.8,392.83,4.03,34.7
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,311,15.2,396.9,19.15,27.1
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,311,15.2,386.71,17.1,18.9
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,311,15.2,396.9,13.27,18.9
0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,311,15.2,390.5,15.71,21.7
1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,307,21,386.85,6.58,23.1
0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,307,21,390.95,11.28,18.2
1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,307,21,376.57,21.02,13.6
0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,307,21,394.33,16.3,15.6
0.67191,0,8.14,0,0.538,5.813,90.3,4.682,307,21,376.88,14.81,16.6
1.00245,0,8.14,0,0.538,6.674,87.3,4.239,307,21,380.23,11.98,21
1.35472,0,8.14,0,0.538,6.072,100,4.175,307,21,376.73,13.04,14.5
0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,252,18.3,395.63,4.32,30.8
0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,233,17.9,383.37,5.81,25.3
0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,233,17.9,394.46,7.44,24.7
0.12269,0,6.91,0,0.448,6.069,40,5.7209,233,17.9,389.39,9.55,21.2
0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,233,17.9,396.9,14.15,20
0.25387,0,6.91,0,0.448,5.399,95.3,5.87,233,17.9,396.9,30.81,14.4
0.08873,21,5.64,0,0.439,5.963,45.7,6.8147,243,16.8,395.56,13.45,19.7
0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,284,19.7,395.58,9.5,25
0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,337,16.1,396.9,4.67,23.5
0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,345,18.9,396.9,13.09,17.4
0.15876,0,10.81,0,0.413,5.961,17.5,5.2873,305,19.2,376.94,9.88,21.7
0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,281,19,396.9,5.29,28
0.05059,0,4.49,0,0.449,6.389,48,4.7794,247,18.5,396.9,9.62,23.9
0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,247,18.5,392.3,6.53,26.6
0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,247,18.5,395.99,12.86,22.5
0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,270,17.8,392.18,8.81,22.6
0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,270,18.2,395.01,8.16,22.9
0.12204,0,2.89,0,0.445,6.625,57.8,3.4952,276,18,357.98,6.65,28.4
0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,276,18,391.83,11.34,21.4
